Cohort,Settlement.Date,Family,Facility,Tank,TaskID,Inventory.Date,Age.Month,Total.Animals,Mean.Size
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_1,12/18/2019,6,17,2.96
2019,6/18/2019,GR14 X OR50,MCR,D02,Inventory_1,12/18/2019,6,48,3.48
2019,6/18/2019,GR14 X OR50,MCR,D03,Inventory_1,12/18/2019,6,25,5.06
2019,6/18/2019,GR14 X OR50,MCR,D08,Inventory_1,12/18/2019,6,15,4.6
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_1,12/30/2019,5,121,4.017
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_1,12/30/2019,5,50,4.083
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_1,12/30/2019,5,879,2.167
2019,7/3/2019,OR67 X GR08,MCR,B04,Inventory_1,12/30/2019,5,41,3.45
2019,7/3/2019,OR65 X GR08,MCR,B07,Inventory_1,12/31/2019,5,425,3.367
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_1,12/31/2019,5,54,4.807
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_1,12/31/2019,5,70,4.507
2019,7/3/2019,OR67 X GR08,MCR,B06,Inventory_1,12/31/2019,5,42,5.683
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_1,12/31/2019,5,79,4.283
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_1,1/1/2020,5,42,4.717
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_1,1/1/2020,5,97,5.917
2019,7/3/2019,OR96 X GR08,MCR,B18,Inventory_1,1/1/2020,5,102,5.767
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_1,1/1/2020,5,986,3.15
2019,7/3/2019,OR96 X GR08,MCR,B20,Inventory_1,1/1/2020,5,99,6.833
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_2,1/27/2020,7,124,10.327
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_2,1/27/2020,7,92,6.46
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_2,1/27/2020,7,66,6.587
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_2,1/27/2020,7,118,8.033
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_2,1/27/2020,7,79,9.48
2019,5/30/2019,OR94 X OR97,MCR,D10,Inventory_2,1/27/2020,7,71,4.9
2019,6/6/2019,OR98 X GR05,MCR,B28,Inventory_2,1/27/2020,7,25,8.66
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_2,1/27/2020,7,70,5.367
2019,6/6/2019,OR98 X OR87,MCR,B29,Inventory_2,1/27/2020,7,79,8.687
2019,6/6/2019,OR98 X OR87,MCR,C24,Inventory_2,1/27/2020,7,147,4.46
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_2,1/27/2020,7,11,5.509
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_2,1/28/2020,7,19,5.413
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_2,1/28/2020,7,43,9.267
2019,6/6/2019,GR03 X GR11,MCR,C22,Inventory_2,1/28/2020,7,54,6.05
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_2,1/28/2020,7,85,10.33
2019,6/6/2019,GR03 X GR11,MCR,D15,Inventory_2,1/28/2020,7,22,5.46
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_2,1/28/2020,7,36,8.859
2019,6/6/2019,OR88 X GR05,MCR,C28,Inventory_2,1/29/2020,7,128,8.707
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_2,1/29/2020,7,382,5.413
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_2,1/29/2020,7,75,9.76
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_2,1/29/2020,7,26,6.98
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_2,2/10/2020,7,102,4.95
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_2,2/10/2020,7,49,5.48
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_2,2/10/2020,7,188,4.52
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_2,2/10/2020,7,183,5.08
2019,6/18/2019,GR14 X OR29,MCR,B30,Inventory_2,2/11/2020,7,83,9.18
2019,6/18/2019,GR14 X OR29,MCR,D04,Inventory_2,2/11/2020,7,46,6.24
2019,6/18/2019,GR14 X OR29,MCR,D05,Inventory_2,2/11/2020,7,144,3.76
2019,6/18/2019,GR14 X OR50,MCR,C26,Inventory_2,2/11/2020,7,74,5.738
2019,6/18/2019,GR14 X OR50,MCR,C29,Inventory_2,2/11/2020,7,91,9.975
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_2,2/11/2020,7,146,6.25
2019,6/18/2019,GR14 X OR50,MCR,D02,Inventory_2,2/11/2020,7,44,5.575
2019,6/18/2019,GR14 X OR55,MCR,B39,Inventory_2,2/11/2020,7,249,6.253
2019,6/18/2019,GR14 X OR55,MCR,B40,Inventory_2,2/11/2020,7,125,9.913
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_1,2/18/2020,5,131,3.093
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_1,2/18/2020,5,425,1.833
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_1,2/18/2020,5,70,2.557
2019,8/21/2019,OR94 X OR87,MCR,B33,Inventory_1,2/18/2020,5,27,3
